1, 1, 0.010912
2, 2, 0.004694
3, 3, 0.004980
4, 4, 0.003957
5, 5, 0.009084
6, 6, 0.006282
7, 7, 0.006699
8, 8, 0.010475
9, 9, 0.010434
10, 10, 0.008400
11, 11, 0.009628
12, 12, 0.010972
13, 13, 0.011925
14, 14, 0.009647
15, 15, 0.008406
16, 16, 0.010966
17, 17, 0.014500
18, 18, 0.010210
19, 19, 0.013123
20, 20, 0.008937
21, 21, 0.009077
22, 22, 0.010335
23, 23, 0.007529
24, 24, 0.011112
25, 25, 0.015919
26, 26, 0.019042
27, 27, 0.012827
28, 28, 0.010477
29, 29, 0.011284
30, 30, 0.011081
31, 31, 0.009350
32, 32, 0.020326
33, 33, 0.016984
34, 34, 0.020461
35, 35, 0.023362
36, 36, 0.017768
37, 37, 0.020500
38, 38, 0.021844
39, 39, 0.017009
40, 40, 0.022885
41, 41, 0.017909
42, 42, 0.016098
43, 43, 0.024317
44, 44, 0.022328
45, 45, 0.022427
46, 46, 0.022761
47, 47, 0.020154
48, 48, 0.025739
49, 49, 0.029880
50, 50, 0.025017
51, 51, 0.024697
52, 52, 0.020893
53, 53, 0.024873
54, 54, 0.024742
55, 55, 0.023893
56, 56, 0.025759
57, 57, 0.024892
58, 58, 0.030612
59, 59, 0.028065
60, 60, 0.022464
61, 61, 0.024684
62, 62, 0.025212
63, 63, 0.025110
64, 64, 0.025088
65, 65, 0.027155
66, 66, 0.028038
67, 67, 0.025088
68, 68, 0.026470
69, 69, 0.022232
70, 70, 0.026011
71, 71, 0.022187
72, 72, 0.025786
73, 73, 0.020263
74, 74, 0.027695
75, 75, 0.024938
76, 76, 0.029082
77, 77, 0.028518
78, 78, 0.027097
79, 79, 0.030680
80, 80, 0.026263
81, 81, 0.026142
82, 82, 0.025082
83, 83, 0.029457
84, 84, 0.031893
85, 85, 0.033099
86, 86, 0.031635
87, 87, 0.032145
88, 88, 0.030594
89, 89, 0.026049
90, 90, 0.023573
91, 91, 0.022633
92, 92, 0.030609
93, 93, 0.039386
94, 94, 0.041715
95, 95, 0.045699
96, 96, 0.045578
97, 97, 0.040669
98, 98, 0.043788
99, 99, 0.043985
100, 100, 0.041811
